CUSTOMER_NUMBER,PARAMETER,PARAMETER_GROUP
ESPCCT,Consignment,Operations
ESPCCV,Consignment,Operations
ESPCCW,Consignment,Operations
ESPCEG,Consignment,Operations
ESPCEN,Consignment,Operations
ESPCEN,Promotional Stand,Retail Format
ESPCFR,Consignment,Operations
ESPCGA,Consignment,Operations
ESPCGE,Consignment,Operations
ESPCGR,Consignment,Operations
ESPCHM,Consignment,Operations
ESPCHS,Consignment,Operations
ESPCHS,Promotional Stand,Retail Format
ESPCKE,Closed,Account Status
ESPCKI,Closed,Account Status
ESPCKN,Consignment,Operations
ESPCKW,Consignment,Operations
ESPCKY,Consignment,Operations
ESPCLB,Consignment,Operations
ESPCM1,Closed,Account Status
ESPCMK,Consignment,Operations
ESPCMM,Consignment,Operations
ESPCMO,Consignment,Operations
ESPCMS,Promotional Stand,Retail Format
ESPCN1,Consignment,Operations
ESPCNL,Consignment,Operations
ESPCNL,Promotional Stand,Retail Format
ESPCOC,Closed,Account Status
ESPCPA,Consignment,Operations
ESPCPB,Consignment,Operations
ESPCPS,Consignment,Operations
ESPCRA,Consignment,Operations
ESPCSG,Consignment,Operations
ESPCSO,Closed,Account Status
ESPCSP,Consignment,Operations
ESPCSP,Promotional Stand,Retail Format
ESPCST,Consignment,Operations
ESPCSW,Closed,Account Status
ESPCTB,Closed,Account Status
ESPCTC,Consignment,Operations
ESPCTG,Consignment,Operations
ESPCTL,Closed,Account Status
ESPCTS,Consignment,Operations
ESPCTV,Consignment,Operations
ESPCVH,Consignment,Operations
ESPCW,Consignment,Operations
ESPCWB,Consignment,Operations
ESPCWE,Closed,Account Status
ESPCWK,Consignment,Operations
ESPCWM,Consignment,Operations
ESPGRA,Consignment,Operations
ESPGRA,Promotional Stand,Retail Format
ESPHMS,Consignment,Operations
ESPKNY,Consignment,Operations
ESPKNY,Promotional Stand,Retail Format
ESPKO,Consignment,Operations
ESPLIN,Consignment,Operations
ESPNEL,Consignment,Operations
ESPP14,Consignment,Operations
ESPPBB,Consignment,Operations
ESPPBB,Promotional Stand,Retail Format
ESPSG1,Consignment,Operations
ESPSOM,Consignment,Operations
ESPSP1,Consignment,Operations
ESPSP2,Consignment,Operations
ESPSTL,Consignment,Operations
ESPSWT,Consignment,Operations
ESPTGV,Consignment,Operations
ESPUTG,Consignment,Operations
ESPUTG,Promotional Stand,Retail Format
ESPVIS,Consignment,Operations
ESPVIS,Promotional Stand,Retail Format
ESTE01,Trading Account,Account Status
ESTEC1,Consignment,Operations
ESTEC1,Promotional Stand,Retail Format
ESTECO,Consignment,Operations
ESTI01,Closed,Account Status
ESTIOC,Consignment,Operations
ESTL01,Closed,Account Status
ESTPC1,Consignment,Operations
ESTPOC,Closed,Account Status
ESTV01,Closed,Account Status
ETHE01,Closed,Account Status
ETHE02,Closed,Account Status
ETHE04,Consignment,Operations
ETHL01,Closed,Account Status
EVIW01,Trading Account,Account Status
EVIWC1,Consignment,Operations
EVIWC2,Consignment,Operations
EVIWC2,Promotional Stand,Retail Format
EVIWOC,Closed,Account Status
FMEC2,Consignment,Operations
FMEOC,Consignment,Operations
FMOF01,Trading Account,Account Status
FMOF06,Closed,Account Status
FMOFC1,Consignment,Operations
FMOFC2,Consignment,Operations
FMOFC2,Promotional Stand,Retail Format
FMOFC3,Consignment,Operations
FMOFC3,Promotional Stand,Retail Format
FMOFC4,Consignment,Operations
FMOFC5,Consignment,Operations
FMOFC6,Consignment,Operations
FMOFOC,Closed,Account Status
FMOFPM,Consignment,Operations
FMOFPM,Promotional Stand,Retail Format
GANL01,Closed,Account Status
GBEG01,Closed,Account Status
GEDACO,Consignment,Operations
GEDACO,Promotion,Marketing
GEDEC1,Consignment,Operations
GEDEOC,Closed,Account Status
GEGC1,Consignment,Operations
GEGOC,Closed,Account Status
GHIH02,Closed,Account Status
GHIHOC,Consignment,Operations
GMAA01,Closed,Account Status
GMEA01,Closed,Account Status
GMEA02,Trading Account,Account Status
GMEAC1,Consignment,Operations
GMEACO,Consignment,Operations
GMEAOC,Consignment,Operations
GSAAOC,Consignment,Operations
GWAC1,Consignment,Operations
GWAN01,Trading Account,Account Status
HCOE01,Closed,Account Status
HISOC1,Consignment,Operations
HISOC1,Promotional Stand,Retail Format
HKAM01,Closed,Account Status
HKAM02,Trading Account,Account Status
HKAO4C,Consignment,Operations
HMAA04,Closed,Account Status
HMAOOC,Consignment,Operations
HMOL06,Closed,Account Status
HRAMFR,Closed,Account Status
HSCLOC,Consignment,Operations
HSCN02,Trading Account,Account Status
HSCNC1,Consignment,Operations
HSCNCO,Consignment,Operations
HSCNOC,Closed,Account Status
HSCO02,Trading Account,Account Status
HSCOC1,Consignment,Operations
HSCOC1,Promotional Stand,Retail Format
HSCOC2,Consignment,Operations
HSCOC2,Promotional Stand,Retail Format
HSCOC3,Consignment,Operations
HSCOOC,Consignment,Operations
HTSAOC,Consignment,Operations
HTSEC1,Consignment,Operations
HTSEC1,Promotional Stand,Retail Format
HTSECO,Consignment,Operations
HTSEOC,Consignment,Operations
HUML01,Trading Account,Account Status
HUMLOC,Consignment,Operations
HUMLST,Promotional Stand,Retail Format
HWALC1,Consignment,Operations
HWALC2,Consignment,Operations
HWALC2,Promotional Stand,Retail Format
HZAEC1,Consignment,Operations
HZAEC1,Promotional Stand,Retail Format
IBEN01,Closed,Account Status
IBRD01,Closed,Account Status
IBRN01,Closed,Account Status
IDZNC1,Consignment,Operations
IDZNC1,Promotional Stand,Retail Format
IDZNC2,Consignment,Operations
IERN03,Trading Account,Account Status
IERNC1,Promotion,Marketing
IERNOC,Consignment,Operations
IFAROC,Consignment,Operations
IFREC1,Consignment,Operations
IFREOC,Consignment,Operations
IHEN01,Trading Account,Account Status
IHENC1,Consignment,Operations
IHENC2,Closed,Account Status
IHENC2,Consignment,Operations
IHENCS,Consignment,Operations
IHENCS,Promotional Stand,Retail Format
IHENOC,Consignment,Operations
IIJEC1,Consignment,Operations
IIJEC1,Promotional Stand,Retail Format
IKRE01,Closed,Account Status
IKRE02,Closed,Account Status
IKRE04,Closed,Account Status
