CUSTOMER_NUMBER,PARAMETER,PARAMETER_GROUP
OKHT01,Trading Account,Account Status
OKHTC1,Consignment,Operations
OKHTOC,Consignment,Operations
OKNB01,Closed,Account Status
OKNB02,Closed,Account Status
OKNX01,Closed,Account Status
OKRG01,Closed,Account Status
OMBM01,Closed,Account Status
OMOLC1,Consignment,Operations
OMOLC1,Promotional Stand,Retail Format
OPRFC1,Closed,Account Status
OPRFC3,Consignment,Operations
OPRFOC,Closed,Account Status
OPRM01,Promotion,Marketing
OPRMOC,Consignment,Operations
OPRMOC,Promotion,Marketing
OPRO01,Closed,Account Status
OPRO03,Closed,Account Status
OROS01,Trading Account,Account Status
OROS05,Trading Account,Account Status
OROS06,Trading Account,Account Status
OROSC1,Consignment,Operations
OROSC2,Consignment,Operations
OROSC3,Consignment,Operations
OROSCC,Consignment,Operations
OROSCO,Consignment,Operations
OROSOC,Closed,Account Status
OSAA01,Closed,Account Status
OSAA03,Closed,Account Status
OSLPC1,Promotional Stand,Retail Format
OSPLOC,Consignment,Operations
OSPRC2,Consignment,Operations
OSPROC,Consignment,Operations
OWODOC,Consignment,Operations
OWODOC,Promotional Stand,Retail Format
PCOT01,Closed,Account Status
PDILOC,Consignment,Operations
PHYE02,Trading Account,Account Status
PHYEC1,Consignment,Operations
PJEP01,Closed,Account Status
PKAI01,Closed,Account Status
PMSE01,Trading Account,Account Status
PMSEC1,Consignment,Operations
PMSEOC,Closed,Account Status
PPAPC1,Consignment,Operations
PPAPC2,Closed,Account Status
PPAPCO,Consignment,Operations
PPAPOC,Closed,Account Status
PROE01,Trading Account,Account Status
PROE0C,Closed,Account Status
PROEC1,Consignment,Operations
PROEC2,Consignment,Operations
PROEC2,Promotional Stand,Retail Format
PROECO,Consignment,Operations
PROEOC,Closed,Account Status
PSUCAM,Consignment,Operations
PSUCAM,Promotional Stand,Retail Format
PSUE02,Trading Account,Account Status
PSUEC1,Consignment,Operations
PSUEC2,Closed,Account Status
PSUEC3,Consignment,Operations
PSUEOC,Consignment,Operations
RABA01,Closed,Account Status
RABAC1,Consignment,Operations
RABACO,Consignment,Operations
RABAO1,Trading Account,Account Status
RABAOC,Closed,Account Status
RAFO01,Closed,Account Status
RARA01,Closed,Account Status
RBEE01,Closed,Account Status
RBEM02,Trading Account,Account Status
RBEMC1,Consignment,Operations
RBEMOC,Closed,Account Status
RBUGC1,Consignment,Operations
RBUNC1,Consignment,Operations
RBUNOC,Closed,Account Status
RBUR01,Closed,Account Status
RCAEC1,Consignment,Operations
RCHI01,Closed,Account Status
RCON03,Closed,Account Status
RCON04,Closed,Account Status
RDIEOC,Consignment,Operations
RDOFC0,Consignment,Operations
RDOFOC,Consignment,Operations
RHOSC1,Consignment,Operations
RHOSE1,Trading Account,Account Status
RKAEC1,Consignment,Operations
RKAEC1,Promotional Stand,Retail Format
RKAEC2,Consignment,Operations
RKELC1,Consignment,Operations
RKELC1,Promotional Stand,Retail Format
RKELOC,Consignment,Operations
RKIK01,Closed,Account Status
RKOBOC,Consignment,Operations
RMAAC1,Consignment,Operations
RMAAC2,Promotional Stand,Retail Format
RMAAOC,Consignment,Operations
RMABOC,Consignment,Operations
RMAE01,Trading Account,Account Status
RMAEC0,Consignment,Operations
RMAIOC,Consignment,Operations
RMAKCO,Promotion,Marketing
RMEE01,Closed,Account Status
