CUSTOMER_NUMBER,DEPOSIT_REF
EROT01,DB09-160
EROT01,DD11-004
ESEB02,DD06-004
ESEB02,DD11-012
ESED01,DB04-044
ESED01,DB10-144
ESED01,DB11-031
ESED02,DB06-044
ESED04,DB08-027
ESED04,DB09-183
ESES01,DB07-150
ESES01,DD05-003
ESET01,DD05-009
ESET01,DD08-004
ESET01,DD09-005
ESET01,DD10-002
ESHP01,DD08-015
ESHP02,DB07-057
ESHR01,DB03-141
ESHR01,DB11-146
ESHR01,DD05-016
ESHR01,DD06-004
ESHR01,DD06-009
ESHR01,DD09-001
ESHR01,DD10-002
ESHR01,DD11-002
ESHR03,DD09-011
ESPC01,DB03-131
ESPC01,DB04-175
ESPC01,DB05-195
ESPC01,DB06-150
ESPC01,DB08-083
ESPC02,DB04-099
ESPC02,DB05-096
ESPC02,DB06-093
ESPC02,DB08-076
ESPC02,DB11-111
ESPC03,DB03-104
ESPC03,DB07-076
ESPC03,DB09-040
ESPC03,DB11-025
ESPC14,DB11-126
ESPC16,DB08-092
ESPC16,DB10-104
ESPC17,DB08-081
ESPC18,DB08-091
ESPC18,DD05-014
ESPC18,DD06-009
ESPC19,DB03-083
ESPC19,DB07-107
ESPC19,DB11-069
ESPC20,DB03-085
ESPC20,DB04-087
ESPC20,DB05-084
ESPC20,DB06-082
ESPC20,DB07-109
ESPC20,DB08-089
ESPC20,DB09-081
ESPC20,DB10-105
ESPC20,DB11-105
ESPC21,DB04-082
ESPC21,DB09-084
ESPC25,DB05-089
ESPC25,DB06-084
ESPC25,DB07-106
ESPC25,DB08-082
ESPC26,DD05-014
ESPC29,DB03-087
ESPC29,DB05-086
ESPC30,DB03-093
ESPC30,DB04-093
ESPC30,DB05-094
ESPC30,DB06-070
ESPC30,DB06-089
ESPC30,DB11-109
ESPC30,DB11-191
ESPC33,DB04-098
ESPC33,DB07-187
ESPC33,DB10-009
ESPC33,DB11-033
ESPC34,DB05-170
ESPC34,DB11-107
ESPC35,DB03-099
ESPC35,DB05-117
ESPC36,DB03-080
ESPC36,DB03-167
ESPC36,DB04-079
ESPC39,DB04-097
ESPC39,DB07-188
ESPC39,DD05-008
ESPC40,DD05-002
ESPC40,DD05-003
ESPC41,DB03-161
ESPC41,DB05-079
ESPC41,DB11-066
ESPC42,DB03-084
ESPC42,DB04-086
ESPC42,DB05-083
ESPC42,DB06-081
ESPC42,DB07-108
ESPC42,DB08-088
ESPC43,DB03-089
ESPC43,DB04-091
ESPC43,DB05-112
ESPC43,DB07-105
ESPC44,DB04-077
ESPC44,DB05-080
ESPC44,DB06-078
ESPC44,DB08-094
ESPC44,DB10-102
ESPC45,DB03-182
ESPC45,DB08-084
ESPC45,DB10-107
ESPC46,DB03-095
ESPC46,DB04-080
ESPC46,DB06-077
ESPC48,DB03-086
ESPC48,DB04-088
ESPC48,DB05-088
ESPC48,DB06-083
ESPC48,DB07-110
ESPC48,DB08-090
ESPC48,DB09-082
ESPC48,DB10-106
ESPC48,DB11-106
ESPC49,DB08-080
ESPC50,DB05-223
ESPC58,DD08-015
ESPC58,DD09-003
ESPC59,DB09-066
ESPC59,DD05-014
ESPC61,DB05-148
ESPC61,DB07-075
ESPC61,DB10-099
ESPC61,DB10-115
ESPC61,DB10-116
ESPC61,DB12-059
ESPC62,DB07-074
ESPC63,DB03-103
ESPC63,DB07-073
ESPC63,DB10-100
ESPC63,DB12-058
ESPC64,DB03-148
ESPC65,DB03-079
ESPC65,DB04-078
ESPC65,DB05-077
ESPC65,DB07-111
ESPC65,DB08-093
ESPC65,DB09-085
ESPC66,DB03-054
ESPC66,DB06-088
ESPC68,DB11-115
ESPC69,DB03-219
ESPC69,DB05-033
ESPC69,DB06-013
ESPC69,DB06-190
ESPC69,DB07-199
ESPC69,DB09-022
ESPC69,DB11-037
ESPC69,DB12-079
ESPC71,DB05-113
ESPC71,DD03-015
ESPC71,DD08-010
ESPC71,DD09-011
ESPC74,DB08-087
ESPC76,DB05-019
ESPC76,DB05-219
ESPC76,DB06-192
ESPC76,DB09-010
ESPC76,DB09-151
ESPC76,DB11-006
ESPC77,DB07-120
ESPC80,DB05-201
ESPC80,DB10-103
ESPC80,DB11-104
ESPC82,DB09-086
ESPC82,DB11-103
ESPC83,DB05-220
ESPC84,DD03-014
ESPC84,DD05-015
ESPC84,DD09-013
ESPC84,DD11-004
ESPC88,DB04-094
ESPC88,DB05-095
ESPC88,DB06-090
ESPC88,DB10-111
ESPC89,DB04-008
ESPC89,DB05-085
ESPC89,DB07-090
ESPC90,DB04-089
ESPC90,DB07-103
ESPC90,DB08-085
ESPC93,DB03-081
ESPC93,DB04-084
ESPC93,DB05-082
ESPC93,DB06-076
ESPC94,DB04-090
ESPC94,DB06-116
ESPC95,DB03-063
ESPC95,DB03-090
ESPC95,DB04-092
ESPC95,DB04-154
ESPC96,DB03-132
ESPC96,DB05-031
ESPC96,DB10-127
ESPC99,DB07-197
ESTE01,DB04-002
ESTE01,DB06-008
ESTE01,DB08-202
ESTE01,DB10-006
ESTE01,DB10-007
ESTE01,DB11-119
ESTE01,DD11-012
ESTP01,DB05-073
ESTP01,DB06-109
ESTP01,DB11-132
ETHB01,DB09-063
ETRN01,DB05-116
EVIW01,DB04-020
EVIW01,DB05-191
EVIW01,DB06-121
EVIW01,DB11-158
EVIW01,DC700939
EZEN01,DD05-001
FMAO01,DD03-015
FMOF01,DB03-220
FMOF01,DB04-179
FMOF01,DB05-225
FMOF01,DB06-187
FMOF01,DB07-168
FMOF01,DB09-164
FMOF01,DB11-080
FMOF02,DB04-129
FMOF02,DB05-185
FMOF02,DB06-124
FMOF02,DB08-173
FMOF02,DB09-150
FMOF03,DB03-150
FMOF03,DB05-183
FMOF03,DB06-025
FMOF03,DB10-148
FMOF03,DB11-128
FMOF05,DB04-171
FMOF05,DB05-216
FMOF05,DB06-181
FMOF05,DB07-044
FMOF05,DB07-072
FMOF05,DB07-186
FMOF05,DB08-217
FMOF05,DB09-170
FMOF05,DB12-054
FMOF05,DD05-014
FMOF09,CJ09A013
FMOF09,DD09-014
GAUU01,DB06-045
GBEG03,DB09-178
GBIF01,DD05-004
GBIF01,DD06-006
GBIF01,DD11-005
GDEO01,DD11-004
GEDA02,DB07-185
GEDA02,DB08-208
GEDA02,DB10-001
GEDA02,DD11-010
GEDA04,DB05-001
GEDA04,DB08-210
GEDA04,DB10-003
GEDA04,DB10-160
GEDA04,Jan-03
GEDA04,MAY2002
GEDE01,DD03-008
GEDE01,DD04-002
GEDE01,DD05-015
GEGM01,DB03-159
GEGM01,DB04-130
GEGM01,DB07-190
GEGM01,DD03-012
GENE02,DB07-058
GGIA01,DB07-133
GGIA01,DB11-020
GGOA01,DB08-121
GLEO01,DB06-127
GLEO01,DB08-127
GLIH01,DD03-016
GLIH01,DD05-008
GLIH01,DD08-007
GLIH01,DD11-013
GMEA02,DD10-005
GMOA01,DD04-001
GMOA01,DD08-014
GMOA01,DD09-002
GMOA01,DD10-006
GMOA01,DD11-006
GSEA01,DB09-120
GSEW01,DD07-011
GWAN01,DB07-174
GWAN01,DB11-145
HATL01,DB07-183
HATL02,DB06-112
HATL02,DD10-007
HISO01,DD05-016
HISO01,DD06-005
HISO01,DD07-008
HKAM02,DB03-102
HKAM02,DB05-163
HKAM02,DB07-062
HMAA01,DD08-016
HMAA01,DD10-005
HMAA03,DB06-068
HMAA03,DB07-128
HMAO01,DB03-033
HMAO01,DB10-145
HMAO04,DD08-003
HMAO05,DB08-017
HMAO05,DB08-180
HMOA02,DB03-212
HMOA03,DB06-035
HMOA03,DB06-043
HMOA03,DB08-197
HMOA03,DB12-051
HMOA03,Jan-03
HMOA04,DB06-043
HMOA04,DB08-198
HMOL03,DB03-065
HMOL04,DB11-100
HMOL04,DD05-008
HMOL04,DD09-016
HMPA01,DB06-188
HMPA01,DB06-189
HMPA01,DB07-158
HMPA01,DB09-140
HMPA01,DB10-039
HMPA01,DD03-015
HMPU01,DD04-011
HMPU01,DD05-001
HRAM01,DB04-142
HRAM01,DB05-132
HRAM01,DB07-010
HRAM01,DB09-006
HRAM01,DB09-052
HRAM01,DB09-101
HRAM01,DB10-051
HSCL01,DD05-017
HSCN01,DB08-049
HSCN02,DD04-006
HSCN02,DD06-012
HSCO01,DD06-012
HSCO01,DD08-014
HSCO02,DB04-034
HSCO02,DB05-176
HSCO02,DB06-111
