CUSTOMER_NUMBER,DEPOSIT_REF
UMBL01,DB09-177
UMBL01,DB11-188
UMFN01,DB03-113
UMFN01,DB08-012
UMFN01,DB09-019
UMFN01,DB10-092
UMNK01,DB05-066
UMNK01,DB06-172
UMNK01,DB08-035
UMOT01,DB05-126
UMOT01,DB08-036
UMOT01,DB09-094
UMTB01,DB09-051
UNET01,DD03-009
UNET01,DD05-018
UNET01,DD06-010
UNET01,DD09-017
UNET01,DD10-005
UNET01,DD11-014
UNXM01,DB03-173
UNXM02,DB08-140
URAF01,DB06-059
URAF02,DB11-176
USOT01,DB08-212
USOT07,DB05-184
USOT07,DB09-068
USOT07,DB10-135
UTAN01,DB08-037
VDAI01,DB03-174
VDER01,DB03-156
VDER01,DB11-177
VGOE02,DB03-051
VGOE02,DB04-160
VGOE02,DB05-121
VGOE02,DB06-145
VGOE02,DB08-004
VGOE02,DB09-038
VGOE02,DB10-017
VGOE02,DB11-157
VGOE02,DD06-004
VGOE04,DB04-151
VGOE05,DB03-057
VGOE05,DB04-036
VGOE06,DB07-085
VGOE06,DB08-116
VGOE06,DD04-003
VGOE07,DB05-190
VGOE07,DB10-140
VLEI02,DB12-063
VLEI02,DD06-014
VLEI02,DD09-001
VLEI03,DB05-021
VLEI03,DB07-121
VLEY01,DB03-071
VLEY01,DB11-156
VRIO01,DD03-008
VRIO01,DD05-007
VRIO01,DD06-001
VRIO01,DD07-012
VRIO01,DD09-004
VRIO01,DD10-002
WCEA01,DB08-184
WDEI02,DB04-150
WKHE01,DB05-062
WKHE01,DB11-062
WKHE01,DB11-144
WKHE01,DD04-002
WKHE01,DD06-011
WKHE01,DD07-009
WLAR03,DB03-136
WLAR03,DB04-157
WLEI01,DD08-001
WLEI01,DD11-006
WNEC01,DB08-018
WNEL03,DB03-055
WNEL03,DD07-008
WNEL03,DD07-012
WNEL03,DD11-005
WNEV01,DB08-099
WNEV01,DB09-043
WNEW01,DB11-091
WNKA01,DD09-016
WNKA01,DD11-014
WPOE01,DB08-162
WPOE01,DB11-051
XFOY01,DB04-015
XFOY01,DB05-042
YBIE01,DB06-141
YCRS02,DB03-054
YCRS02,DB09-133
YDES01,DB08-205
YDES01,DB11-185
YKAE03,DB03-154
YKAE03,DB07-163
YMAA03,DD05-001
YMAA03,DD05-019
YMAF02,DB03-183
YMEE01,DB03-155
YMEE01,DB04-136
YMEE01,DB05-204
YMEE02,DB07-099
YMEE02,DB10-056
YMEE02,DB12-056
YMEE04,DB05-009
YMEE04,DB11-034
YMEE04,DB11-189
YMEE05,DD03-020
YMEE05,DD05-003
YMEE05,DD05-015
YMEE05,DD06-012
YMEE05,DD09-010
YMEE05,DD10-005
YMEE05,DD11-002
YMEE07,DB11-122
YMEEO3,DB09-090
YMEEO6,DB11-121
YNAA01,DB05-069
YNAA01,DB09-182
YRAN01,DD03-013
YREN03,DB04-011
YREN03,DB06-052
YREN03,DB07-050
YREN03,DD08-002
YSTL02,DB05-164
YSTL02,DB09-126
YSTL02,DD07-015
YTAL03,DB05-217
YTAL03,DB08-146
YTAL03,DB08-192
ZDEI01,DD03-020
ZDEI01,DD05-001
ZDEI01,DD05-019
ZDOE01,DB03-191
ZDOE01,DB05-005
ZDOE01,DB07-005
ZDOE01,DB09-001
ZHAY02,DD04-001
ZHAY02,DD05-003
ZMAU01,DB03-164
ZNAE01,DD03-012
ZNAE01,DD04-009
ZNAE01,DD05-016
ZNAE01,DD06-009
ZNAE01,DD07-008
ZNAE01,DD08-010
ZNAE01,DD09-013
ZNAO01,DD04-005
ZNAO01,DD08-014
ZNAO01,DD09-014
ZNAO01,DD11-014
